tier,reachability_representative,metro,title,best_email,all_emails,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,pocs,primary_contact,primary_contact_channel
A,Albert Cohen,new york,"Cohen & Cohen Car Accident & Personal Injury Lawyers, P.C.",,,+1 718-568-5708,https://www.cohenandcohenlawgroup.com/staten-island-personal-injury-lawyer,"1855 Victory Blvd, Staten Island, NY 10314, United States","https://www.google.com/maps/place/Cohen+%26+Cohen+Car+Accident+%26+Personal+Injury+Lawyers,+P.C./data=!4m7!3m6!1s0x89c24c2a15341987:0xcc1475f3bb72f6dc!8m2!3d40.613139!4d-74.1254294!16s%2Fg%2F11f3jx3snw!19sChIJhxk0FSpMwokR3PZyu_N1FMw",https://www.facebook.com/AlbertCohenEsq/,https://www.instagram.com/cohenandcoheninjury/,https://www.linkedin.com/company/albert-cohen/,,https://www.tiktok.com/@cohenandcoheninjury,,Albert Cohen,CEO and Founder,https://www.linkedin.com/in/albert-cohen-37362222/,Sitara Abbas;Albert Cohen;Charles Haviv;Ryan Charder;Michael Khan,Albert Cohen,https://www.linkedin.com/in/albert-cohen-37362222/
A,Albert Cohen,new york,"Cohen & Cohen Car Accident & Personal Injury Lawyers, P.C.",,,+1 718-775-3996,https://www.cohenandcohenlawgroup.com/locations/brooklyn-personal-injury-lawyer-office,"45 4th Ave 2nd Floor, Brooklyn, NY 11217, United States","https://www.google.com/maps/place/Cohen+%26+Cohen+Car+Accident+%26+Personal+Injury+Lawyers,+P.C./data=!4m7!3m6!1s0x89c25b83fd056a8b:0x53f02307d20fd190!8m2!3d40.6829044!4d-73.978901!16s%2Fg%2F11zk2wsw2j!19sChIJi2oF_YNbwokRkNEP0gcj8FM",https://www.facebook.com/AlbertCohenEsq/,https://www.instagram.com/cohenandcoheninjury/,https://www.linkedin.com/company/albert-cohen/,,https://www.tiktok.com/@cohenandcoheninjury,,Albert Cohen,CEO and Founder,https://www.linkedin.com/in/albert-cohen-37362222/,Sitara Abbas;Albert Cohen;Charles Haviv;Ryan Charder,Albert Cohen,https://www.linkedin.com/in/albert-cohen-37362222/
A,Pinni Bohm,new york,"Bohm Law Firm, P.C.",info@bohmlawfirm.com,info@bohmlawfirm.com,+1 718-407-4461,https://www.bohmlawfirm.com,"1301 Coney Island Ave Suite 2A, Brooklyn, NY 11230, United States","https://www.google.com/maps/place/Bohm+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c244c8d288891f:0x74d83d0c9829ddaf!8m2!3d40.6259223!4d-73.9650739!16s%2Fg%2F119th0qr2!19sChIJH4mI0shEwokRr90pmAw92HQ",https://facebook.com/bohmlawfirm;https://www.facebook.com/BohmLawFirmBrooklynProbateWillsEstatePlanning,,http://www.linkedin.com/in/pinnibohm;https://www.linkedin.com/in/pinnibohm/,http://yelp.com/biz/bohm-law-firm-new-york,,https://www.youtube.com/channel/UCfdlwNH9suQu3raSuhTpDUQ,Pinni Bohm,Founder / Estate Planning and Probate Attorney,https://www.linkedin.com/in/pinnibohm,Pinni Bohm;Estate Planning,Pinni Bohm,https://www.linkedin.com/in/pinnibohm
A,Christopher R. Cabanillas,new york,"Cabanillas & Associates, P.C.",leads@cabanillaslaw.com,leads@cabanillaslaw.com,+1 800-523-4762,http://cabanillaslaw.com,"1452 Westchester Ave, Bronx, NY 10472, United States","https://www.google.com/maps/place/Cabanillas+%26+Associates,+P.C./data=!4m7!3m6!1s0x89c2f38594f3f7a3:0x86de203403271579!8m2!3d40.8281333!4d-73.8820635!16s%2Fg%2F11b7f3k1z8!19sChIJo_fzlIXzwokReRUnAzQg3oY",https://facebook.com/cabanillasandassociates;https://facebook.com/elshowdecabanillas,https://instagram.com/cabanillaslaw;https://instagram.com/cabanillastuabogado,https://linkedin.com/cabanillaslaw;https://linkedin.com/company/cabanillaslaw,,,https://youtube.com/@ElShowdeCabanillas;https://youtube.com/UCwttqsuMtDwzPUJXkwBRcQA,Christopher R. Cabanillas,Founder / Principal (CEO),https://www.linkedin.com/in/chris-cabanillas-945174b1/,Christopher R. Cabanillas;Christopher C. Garitee,Christopher R. Cabanillas,https://www.linkedin.com/in/chris-cabanillas-945174b1/
A,Michael Block,new york,"Michael Block, Attorney At Law P.C.",michael@michaelblocklawyer.com,michael@michaelblocklawyer.com;michaelblock.law@gmail.com,+1 212-227-9008,https://www.michaelblocklawyer.com,"277 Broadway #708, New York, NY 10007, United States","https://www.google.com/maps/place/Michael+Block,+Attorney+At+Law+P.C./data=!4m7!3m6!1s0x89c25a21fc508b25:0xabc8bd2e172537df!8m2!3d40.7143278!4d-74.0040906!16s%2Fg%2F1tfwqwzw!19sChIJJYtQ_CFawokR3zclFy69yKs",https://www.facebook.com/michaelblocklawyer/,,https://www.linkedin.com/in/michaelblocklawyer/,,,,Michael Block,Principal Attorney / Owner,https://www.linkedin.com/in/michaelblocklawyer/,Michael Block,Michael Block,https://www.linkedin.com/in/michaelblocklawyer/
A,Jonathan Shalom,new york,"Shalom Law- Car Accident & Personal Injury Lawyers- Queens, NY",Jonathan@ShalomLawNY.com,Jonathan@ShalomLawNY.com;info@shalomlawny.com;jonathan@shalomlawny.com;office@shalomlaw.com;office@shalomlawny.com,+1 718-841-0646,https://shalomlawny.com/car-accident-lawyer-forest-hills-ny,"105-13 Metropolitan Ave, Forest Hills, NY 11375, United States","https://www.google.com/maps/place/Shalom+Law-+Car+Accident+%26+Personal+Injury+Lawyers-+Queens,+NY/data=!4m7!3m6!1s0x89c261584bd1c381:0x5d438e005ce1c68e!8m2!3d40.7102356!4d-73.8478326!16s%2Fg%2F11gydrxbf4!19sChIJgcPRS1hhwokRjsbhXACOQ10",https://www.facebook.com/chillawitz,https://www.instagram.com/shalomlaw/,https://www.linkedin.com/in/jonathanshalomesq/?trk=profile-badge,,https://www.tiktok.com/@shalomlaw,https://www.youtube.com/channel/UCuQx-xHypSwr6iZn6NmiqWA,Jonathan Shalom,Founder,https://www.linkedin.com/in/jonathanshalomesq/,Jonathan Shalom,Jonathan Shalom,https://www.linkedin.com/in/jonathanshalomesq/
A,David M. Cooper,new york,Cooper Law Firm PC,info@fight.com,info@fight.com;support@cooperlawfirmpc.com,+1 212-222-9200,https://helpfighttickets.com,"6009 16th Ave, Brooklyn, NY 11204, United States",https://www.google.com/maps/place/Cooper+Law+Firm+PC/data=!4m7!3m6!1s0x89c24524f67ba16b:0x9fdf0882a076981c!8m2!3d40.6244818!4d-73.9920546!16s%2Fg%2F11c3k6dp7_!19sChIJa6F79iRFwokRHJh2oIII358,,https://www.instagram.com/cooperlawfirmpc/,,,,,David M. Cooper,President / Founding Attorney,https://www.linkedin.com/in/david-m-cooper-b90a7b13/,David M. Cooper,David M. Cooper,https://www.linkedin.com/in/david-m-cooper-b90a7b13/
A,Howard Raphaelson,new york,"Raphaelson & Levine Law Firm, P.C.",,,+1 646-960-3476,https://www.raphaelsonlaw.com,"14 Pennsylvania Plaza Ste 1718, New York, NY 10122, United States","https://www.google.com/maps/place/Raphaelson+%26+Levine+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c259add357548f:0xeaf6e4ad2a5f8043!8m2!3d40.751782!4d-73.99181!16s%2Fg%2F1vtqx04l!19sChIJj1RX061ZwokRQ4BfKq3k9uo",https://www.facebook.com/raphaelsonandlevine/,https://www.instagram.com/raphaelsonandlevinelaw/,https://www.linkedin.com/company/raphaelson-&-levine,,https://www.tiktok.com/@personalinjurylawyernyc,https://www.youtube.com/@raphaelsonlevinelawfirm,Howard Raphaelson,Founding Partner,https://www.linkedin.com/in/howardraphaelson/,Howard Raphaelson;Andrew Levine,Howard Raphaelson,https://www.linkedin.com/in/howardraphaelson/
A,Gregory Spektor,new york,Gregory Spektor & Associates P.C.,gregoryspektorlaw@gmail.com,gregoryspektorlaw@gmail.com,+1 800-318-8888,https://www.spektorlaw.com,"1 Cross Is Plz Ste 203C, Rosedale, NY 11422, United States",https://www.google.com/maps/place/Gregory+Spektor+%26+Associates+P.C./data=!4m7!3m6!1s0x89c263cbee6c5655:0xaa6da5add6aea4f3!8m2!3d40.6743506!4d-73.7318845!16s%2Fg%2F1tj97b54!19sChIJVVZs7stjwokR86Su1q2lbao,,,,,,,Gregory Spektor,Founding Partner,https://www.linkedin.com/in/gregory-spektor-277466115/,Gregory Spektor,Gregory Spektor,https://www.linkedin.com/in/gregory-spektor-277466115/
A,Steven Dorfman,new york,"The Perecman Firm, P.L.L.C.",,,+1 646-536-2089,https://www.perecman.com/personal-injury-lawyer,"250 W 57th St #401, New York, NY 10107, United States","https://www.google.com/maps/place/The+Perecman+Firm,+P.L.L.C./data=!4m7!3m6!1s0x89c258f7e7a41635:0x1edc2f8b4de227b0!8m2!3d40.7662801!4d-73.9824591!16s%2Fg%2F1tf491ns!19sChIJNRak5_dYwokRsCfiTYsv3B4",https://www.facebook.com/newyorkpersonalinjury/,https://www.instagram.com/theperecmanfirm/,https://www.linkedin.com/company/the-perecman-firm-p-l-l-c-,,https://www.tiktok.com/@the.perecman.firm,https://www.youtube.com/channel/UCmivRo8UvsUEK5fLj28Ny4Q,Steven Dorfman,Managing Legal Officer,https://www.linkedin.com/in/steven-dorfman-0a97945/,Steven Dorfman;Zach Perecman,Steven Dorfman,https://www.linkedin.com/in/steven-dorfman-0a97945/
A,Manuel Portela,new york,"The Portela Law Firm, P.C.",,,+1 212-927-7363,http://www.portelalaw.com,"177 Wadsworth Ave, New York, NY 10033, United States","https://www.google.com/maps/place/The+Portela+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c2f41e3f45080d:0x57a1ad27d5ad0f08!8m2!3d40.8501905!4d-73.9345594!16s%2Fg%2F1vyk3fg4!19sChIJDQhFPx70wokRCA-t1SetoVc",https://www.facebook.com/portelalaw,https://www.instagram.com/portelalawfirm/,https://www.linkedin.com/in/portelalaw,,https://www.tiktok.com/@nyctoplawyer?lang=en,https://www.youtube.com/channel/UCOoFtxNKqCwwWXaXVQwqC0A;https://www.youtube.com/watch?v=ixvm5mDCyTc&t=48s,Manuel Portela,Principal Attorney / Founder,https://www.linkedin.com/in/manuel-portela-jr-esq-a8372035/,Manuel Portela;Susan Friedland;Egi Deromemaj,Manuel Portela,https://www.linkedin.com/in/manuel-portela-jr-esq-a8372035/
A,Alex Shulman,new york,Shulman & Hill - Manhattan Personal Injury Lawyer,,,+1 917-905-2053,https://shulman-hill.com/manhattan/personal-injury-lawyer,"1 State St 15th Floor, New York, NY 10004, United States",https://www.google.com/maps/place/Shulman+%26+Hill+-+Manhattan+Personal+Injury+Lawyer/data=!4m7!3m6!1s0x89c25b0881d11e29:0xf8bf776ebaf81e9c!8m2!3d40.7028009!4d-74.013395!16s%2Fg%2F11mvq0_035!19sChIJKR7RgQhbwokRnB74um53v_g,https://www.facebook.com/ShulmanHillNYLegal,https://www.instagram.com/shulmanhill_law/,https://www.linkedin.com/company/shulman-&-hill/,,,https://www.youtube.com/@ShulmanHillLaw,Alex Shulman,Founding Partner & General Counsel,https://www.linkedin.com/in/alex-shulman-9a24b44b/,Alex Shulman;J.J. Hill;David Schleider,Alex Shulman,https://www.linkedin.com/in/alex-shulman-9a24b44b/
A,Arthur Lebedin,new york,Lebedin Kofman LLP,info@lebedinkofmanlaw.com,info@lebedinkofmanlaw.com,+1 646-663-4430,https://www.lebedinkofman.com,"26 Broadway 3rd floor, New York, NY 10004, United States",https://www.google.com/maps/place/Lebedin+Kofman+LLP/data=!4m7!3m6!1s0x89c25a16ed8593df:0x79c4a1a5eb39e2bd!8m2!3d40.7052301!4d-74.0131831!16s%2Fg%2F12ll5gh55!19sChIJ35OF7RZawokRveI566WhxHk,https://web.facebook.com/LebedinKofmanLLP/timeline?_rdc=1&_rdr#,,,,,,Arthur Lebedin,Founding Partner,https://www.linkedin.com/in/arthur-lebedin-32a3ba30/,Arthur Lebedin;Russ Kofman;New York,Arthur Lebedin,https://www.linkedin.com/in/arthur-lebedin-32a3ba30/
A,Inna Fershteyn,new york,"Law Office of Inna Fershteyn and Associates, P.C.",,,+1 718-333-2394,https://brooklyntrustandwill.com/estate-planning,"1517 Voorhies Ave 4th Floor, Brooklyn, NY 11235, United States","https://www.google.com/maps/place/Law+Office+of+Inna+Fershteyn+and+Associates,+P.C./data=!4m7!3m6!1s0x89c245062635ab61:0xbd0157967345020c!8m2!3d40.5859537!4d-73.9531868!16s%2Fg%2F1vmr28mn!19sChIJYas1JgZFwokRDAJFc5ZXAb0",https://www.facebook.com/advancedlegal/,https://www.instagram.com/fershteyn.law/;https://www.instagram.com/fershteynlaw/,https://www.linkedin.com/in/inna-fershteyn-7b827616;https://www.linkedin.com/in/inna-fershteyn-7b827616/,,,https://www.youtube.com/user/innafershteyn,Inna Fershteyn,Principal Attorney,https://www.linkedin.com/in/inna-fershteyn-7b827616,Inna Fershteyn;New York,Inna Fershteyn,https://www.linkedin.com/in/inna-fershteyn-7b827616
A,Jack Tuckner,new york,"Tuckner, Sipser, Weinstock & Sipser, LLP",ccrider@womensrightsny.com,ccrider@womensrightsny.com;dmirabilerafal@womensrightsny.com;dorell@womensrightsny.com;gcarmi@womensrightsny.com;ideleonibus@womensrightsny.com;info@womensrightsny.com;jcoulter@womensrightsny.com;jtuckner@womensrightsny.com;kswadosh@womensrightsny.com;mmetzger@womensrightsny.com;spattanayak@womensrightsny.com;wsipser@womensrightsny.com,+1 212-766-9100,https://womensrightsny.com,"535 5th Ave 4th floor, New York, NY 10017, United States","https://www.google.com/maps/place/Tuckner,+Sipser,+Weinstock+%26+Sipser,+LLP/data=!4m7!3m6!1s0x89c25a176bb283a7:0x635fa62841d842b7!8m2!3d40.7548364!4d-73.9794103!16s%2Fg%2F1tdskq09!19sChIJp4OyaxdawokRt0LYQSimX2M",https://www.facebook.com/Tuckner-Sipser-Weinstock-Sipser-LLP-171890449792/timeline/,https://www.instagram.com/womensrightsny/,https://www.linkedin.com/company/tuckner-sipser-weinstock-&-sipser-llp/,,https://www.tiktok.com/@womensrightsny,https://www.youtube.com/user/womensrightsny/featured,Jack Tuckner,Founding Partner,https://www.linkedin.com/in/jacktuckner,Catherine Crider;Jack Tuckner;William J. Sipser;Deborah O'Rell;Diane Mirabile Rafal;Gat Carmi;Isabelle De Leonibus;New York;Diane Mirabile,Jack Tuckner,https://www.linkedin.com/in/jacktuckner
A,Gregory Hach,new york,"Hach & Rose, LLP",,,+1 646-663-3012,https://www.unionlawfirm.com,"112 Madison Ave 10th floor, New York, NY 10016, United States","https://www.google.com/maps/place/Hach+%26+Rose,+LLP/data=!4m7!3m6!1s0x89c259077ea4c269:0xbf5f8f348b8f6a20!8m2!3d40.745176!4d-73.985161!16s%2Fg%2F1td9x0rg!19sChIJacKkfgdZwokRIGqPizSPX78",https://www.facebook.com/HachRoseLaw/,https://www.instagram.com/hachroselaw/,https://www.linkedin.com/company/hach-&-rose/,,,https://www.youtube.com/channel/UCKZT-xnXtVttMT4GeRWnBSg,Gregory Hach,Founding Partner,https://www.linkedin.com/in/gregoryhach/,Michael Rose;Gregory Hach;Michael A. Rose;American Association;Personal Injury,Gregory Hach,https://www.linkedin.com/in/gregoryhach/
A,Yandy Reyes,new york,ReYes Law PLLC,estateplanningreyes@gmail.com,estateplanningreyes@gmail.com,+1 646-577-9022,http://www.estateplanningreyes.com,"118-35 Queens Blvd #400, Forest Hills, NY 11375, United States",https://www.google.com/maps/place/ReYes+Law+PLLC/data=!4m7!3m6!1s0x89c25f581f5777f7:0xbaae479a5d76acb7!8m2!3d40.7148274!4d-73.831194!16s%2Fg%2F11m_fkktv3!19sChIJ93dXH1hfwokRt6x2XZpHrro,https://www.facebook.com/LawyerForPlanners/,https://instagram.com/lawyerforplanners?igshid=19tsynxz2snlr,https://www.linkedin.com/company/re-yes-law-pllc/?viewAsMember=true,,,,Yandy Reyes,Owner / CEO Lawyer,https://www.linkedin.com/in/yandy-reyes-4a65111ab,Yandy Reyes,Yandy Reyes,https://www.linkedin.com/in/yandy-reyes-4a65111ab
